AmbiguousWord,Meaning1,Meaning2,Meaning3,Meaning4,Meaning5,Meaning6,Meaning7,Meaning8,
Ace,a playing card with one large figure in its centre,very good,a point scored on a serve that an opponent fails to hit,movie name Ace Ventura,pilot,,,,
Aisle/Isle ,"passage between rows, corridor",small island,,,,,,,
Appendix,small redundant part of the intestines ,supplement to a text,,,,,,,
Arms,"upper limbs, including ""arm chair""",weapons,name of a pub,,,,,,
Article,grammatical noun marker,individual item or object,piece of writing,,,,,,
Ash,powdery residue left after burning of a substance,a tree,Ash Wednesday - a day of fasting,,,,,,
Awe/Oar/Or/Ore,equipment for rowing,mineral compound,alternatively,overwhelming feeling of reverence/admiration/fear,,,,,
Baa/Bah/Bar,pub,"length of solid material, including 'raise the bar'",prevent or prohibit,barcode - a machine-readable code,the legal profession and the process of qualifying to practice law,Sound made by a sheep,"used in phrase ""bah humbug""","except, as in ""all bar none""",
Bach/Bark,dog noise,outer covering of tree,German composer,"barking mad - informal, insane, bonkers",,,,,
Bail/Bale,block of hay or straw,"""bail out"": includes money for prison release, scooping out water, letting someone down",small stick on top of cricket stumps,"name, e.g., Gareth Bale",,,,,
Ball/Bawl,spherical object,dancing party,testicle,to cry - bawl,,,,,
Band/Banned,group of musicians,strip of material,officially or legally prohibit,,,,,,
Bank,"a financial establishment; a store/stock of something, including money, sperm, blood, power",edge of a waterway,proper name - underground station,,,,,,
Base/Bass,"the lowest part or edge of something, or a place used as a centre of operations","family of instruments that has the lowest pitch, component of music with low pitch",baseball ,mathematical term relating to counting systems or exponential terms,lacking moral principles,,,,
Bat,wooden sport stick,"night animal, including ""batman""","bat an eyelid - to display a subtle emotional reaction (e.g. consternation, annoyance, sadness, joy)",,,,,,
Beach/Beech,"a pebbly or sandy shore, or to land on the shore",a large tree,coastal area Beachy Head,,,,,,
Beam,a ray or shaft of light,"a piece of timber/metal used to support the roof or floor of a building, or on which a gymnast balances while performing exercises",smile,,,,,,
Bed,piece of furniture for sleeping,part of garden where plants grow,bottom of the ocean,,,,,,
Berth/Birth,being born,room or bed on a ship,,,,,,,
Blew/Blue,colour,created air current with mouth,,,,,,,
Blind,"unable to see because of injury, disease, or a congenital condition. Including ""blind alley"", ""blind date"", ""blindfold""",a screen for a window,,,,,,,
Board/Bored,feeling weary and impatient because one is unoccupied or lacks interest ,"a long, thin, flat piece of wood or other hard material, including ""whiteboard"", ""blackboard"", ""cardboard"", ""cheese board""","group of governing indviduals, e.g., ""boardroom""",full/half board - the provision of accommodation and all/two meals at a hotel or guest house,"To enter or get onto something, such as a plane or boat",,,,
Boarder/Border,"a line separating two countries, administrative divisions, or other areas, or the edge/boundary of something","Borders - an international book and music retailer - ""books""",person/pupil who stays in accommodation,"type of dog. E.g.""border collie"", ""border terrier""",,,,,
Bolt,"a large metal pin - a bar that slides into a socket to fasten a door or window, or a long pin with a head that screws into a nut, used to fasten things together",flash of lightning,"a sudden start or movement, including ""bolt from the blue""",surname/Usain Bolt,quantity of cloth,"a hole or burrow, inlcudes ""bolt hole""",,,
Bonnet,car engine cover,close-fitting headgear,,,,,,,
Bowl,dish,"to throw a ball in a sports game, including the game bowls",,,,,,,
Box,rectangular container,to play in fighting sport,boxplot - a graphic representation of a distribution,,,,,,
Boxer,"a person who takes part in boxing, especially for sport",loose-fitting men's underwear,flat engine (also known as the boxer) - an internal combustion engine with horizontally-opposed pistons,dog breed,,,,,
Branch,a part of a tree which grows out from the trunk,local office of a company,,,,,,,
Bridge,card game,span over a gap,proper name - surname,,,,,,
Bug,a small insect,annoy or bother someone,an illness caused by a microorganism,an error in a computer program or system,listening device,,,,
Bulb,underground part of plant,light component,,,,,,,
Button,clothes fastener,pressure-operated switch,"Name, e.g. Button Gwinnett, Jenson Button","a small sweet, e.g., chocolate button",a type of mushroom,,,,
Cabinet,piece of furniture,group of senior politicians,,,,,,,
Calf,baby cow,lower leg,,,,,,,
