sentence,homophone,condition,repeated,plural,target_token_surprisal,target_span_surprisal_sum,target_span_surprisal_mean,spillover_1_surprisal,spillover_2_surprisal,n_target_tokens,target_token_str,match_found,model,checkpoint,n_params
"The store sold many drinks including port, but Amy decided to only buy port because it was her favorite.",port,subordinate,yes,no,10.502240180969238,10.502240180969238,10.502240180969238,5.446150779724121,2.5304737091064453,1, port,True,EleutherAI/pythia-6.9b,1000,6857302016
"The store sold many drinks, but Amy decided to only buy port because it was her favorite.",port,subordinate,no,no,10.61817455291748,10.61817455291748,10.61817455291748,7.0065155029296875,2.5196831226348877,1, port,True,EleutherAI/pythia-6.9b,1000,6857302016
"The last fish Marissa caught had brown scales, but the other fish had scales in every color of the rainbow.",scales,subordinate,yes,yes,13.506668090820312,13.506668090820312,13.506668090820312,2.9616775512695312,6.654651641845703,1, scales,True,EleutherAI/pythia-6.9b,1000,6857302016
"The last fish Marissa caught was brown, but the other fish had scales in every color of the rainbow.",scales,subordinate,no,yes,14.164166450500488,14.164166450500488,14.164166450500488,2.9503533840179443,6.5899248123168945,1, scales,True,EleutherAI/pythia-6.9b,1000,6857302016
"Data can be displayed in a graph or table, but often a table makes results easier to understand.",table,subordinate,yes,no,6.106943607330322,6.106943607330322,6.106943607330322,8.300280570983887,10.941703796386719,1, table,True,EleutherAI/pythia-6.9b,1000,6857302016
"Data can be displayed in different forms, but often a table makes results easier to understand.",table,subordinate,no,no,8.868343353271484,8.868343353271484,8.868343353271484,9.270309448242188,11.517471313476562,1, table,True,EleutherAI/pythia-6.9b,1000,6857302016
"From the stands, the new baseball diamond looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,yes,no,10.34825325012207,10.34825325012207,10.34825325012207,5.398897171020508,2.48734188079834,1, diamond,True,EleutherAI/pythia-6.9b,1000,6857302016
"From the stands, the new baseball field looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,no,no,11.224699974060059,11.224699974060059,11.224699974060059,4.954014301300049,2.5204312801361084,1, diamond,True,EleutherAI/pythia-6.9b,1000,6857302016
Mark was told to check the duck's feet and bill for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,yes,no,8.959716796875,8.959716796875,8.959716796875,7.240222930908203,1.7508065700531006,1, bill,True,EleutherAI/pythia-6.9b,1000,6857302016
Mark was told to check the duck's body for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,no,no,11.65421199798584,11.65421199798584,11.65421199798584,6.893461227416992,1.650214433670044,1, bill,True,EleutherAI/pythia-6.9b,1000,6857302016
