sentence,homophone,condition,repeated,plural,target_token_surprisal,target_span_surprisal_sum,target_span_surprisal_mean,spillover_1_surprisal,spillover_2_surprisal,n_target_tokens,target_token_str,match_found,model,checkpoint,n_params
"The store sold many drinks including port, but Amy decided to only buy port because it was her favorite.",port,subordinate,yes,no,2.246326446533203,2.246326446533203,2.246326446533203,2.863435745239258,1.2153608798980713,1, port,True,EleutherAI/pythia-6.9b,128000,6857302016
"The store sold many drinks, but Amy decided to only buy port because it was her favorite.",port,subordinate,no,no,9.359500885009766,9.359500885009766,9.359500885009766,3.9046339988708496,1.0994102954864502,1, port,True,EleutherAI/pythia-6.9b,128000,6857302016
"The last fish Marissa caught had brown scales, but the other fish had scales in every color of the rainbow.",scales,subordinate,yes,yes,3.8562326431274414,3.8562326431274414,3.8562326431274414,4.127657890319824,3.8193271160125732,1, scales,True,EleutherAI/pythia-6.9b,128000,6857302016
"The last fish Marissa caught was brown, but the other fish had scales in every color of the rainbow.",scales,subordinate,no,yes,5.755712032318115,5.755712032318115,5.755712032318115,4.610187530517578,5.299535274505615,1, scales,True,EleutherAI/pythia-6.9b,128000,6857302016
"Data can be displayed in a graph or table, but often a table makes results easier to understand.",table,subordinate,yes,no,2.899357795715332,2.899357795715332,2.899357795715332,4.9916558265686035,8.39469051361084,1, table,True,EleutherAI/pythia-6.9b,128000,6857302016
"Data can be displayed in different forms, but often a table makes results easier to understand.",table,subordinate,no,no,2.9100213050842285,2.9100213050842285,2.9100213050842285,6.154129981994629,8.323368072509766,1, table,True,EleutherAI/pythia-6.9b,128000,6857302016
"From the stands, the new baseball diamond looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,yes,no,3.905566453933716,3.905566453933716,3.905566453933716,4.102114677429199,1.279083013534546,1, diamond,True,EleutherAI/pythia-6.9b,128000,6857302016
"From the stands, the new baseball field looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,no,no,5.241282939910889,5.241282939910889,5.241282939910889,3.9823434352874756,1.3028972148895264,1, diamond,True,EleutherAI/pythia-6.9b,128000,6857302016
Mark was told to check the duck's feet and bill for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,yes,no,4.8688740730285645,4.8688740730285645,4.8688740730285645,3.5289418697357178,0.893001139163971,1, bill,True,EleutherAI/pythia-6.9b,128000,6857302016
Mark was told to check the duck's body for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,no,no,5.140955448150635,5.140955448150635,5.140955448150635,4.267027854919434,0.8822870254516602,1, bill,True,EleutherAI/pythia-6.9b,128000,6857302016
