sentence,homophone,condition,repeated,plural,target_token_surprisal,target_span_surprisal_sum,target_span_surprisal_mean,spillover_1_surprisal,spillover_2_surprisal,n_target_tokens,target_token_str,match_found,model,checkpoint,n_params
"The store sold many drinks including port, but Amy decided to only buy port because it was her favorite.",port,subordinate,yes,no,10.468620300292969,10.468620300292969,10.468620300292969,8.0591459274292,2.519801378250122,1, port,True,EleutherAI/pythia-6.9b,128,6857302016
"The store sold many drinks, but Amy decided to only buy port because it was her favorite.",port,subordinate,no,no,10.437950134277344,10.437950134277344,10.437950134277344,7.953902244567871,2.512016773223877,1, port,True,EleutherAI/pythia-6.9b,128,6857302016
"The last fish Marissa caught had brown scales, but the other fish had scales in every color of the rainbow.",scales,subordinate,yes,yes,11.835653305053711,11.835653305053711,11.835653305053711,3.975700616836548,7.520019054412842,1, scales,True,EleutherAI/pythia-6.9b,128,6857302016
"The last fish Marissa caught was brown, but the other fish had scales in every color of the rainbow.",scales,subordinate,no,yes,11.70097541809082,11.70097541809082,11.70097541809082,3.903496742248535,7.458474636077881,1, scales,True,EleutherAI/pythia-6.9b,128,6857302016
"Data can be displayed in a graph or table, but often a table makes results easier to understand.",table,subordinate,yes,no,7.850181579589844,7.850181579589844,7.850181579589844,9.865079879760742,9.447755813598633,1, table,True,EleutherAI/pythia-6.9b,128,6857302016
"Data can be displayed in different forms, but often a table makes results easier to understand.",table,subordinate,no,no,7.941863059997559,7.941863059997559,7.941863059997559,10.163961410522461,9.411706924438477,1, table,True,EleutherAI/pythia-6.9b,128,6857302016
"From the stands, the new baseball diamond looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,yes,no,12.752911567687988,12.752911567687988,12.752911567687988,4.507651329040527,5.766533851623535,1, diamond,True,EleutherAI/pythia-6.9b,128,6857302016
"From the stands, the new baseball field looked a lot larger than the old diamond that had been torn down.",diamond,subordinate,no,no,12.785181045532227,12.785181045532227,12.785181045532227,4.503761291503906,5.837771892547607,1, diamond,True,EleutherAI/pythia-6.9b,128,6857302016
Mark was told to check the duck's feet and bill for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,yes,no,10.328845977783203,10.328845977783203,10.328845977783203,6.856691360473633,2.9101150035858154,1, bill,True,EleutherAI/pythia-6.9b,128,6857302016
Mark was told to check the duck's body for injuries and to put a tag on its bill if it appeared fine.,bill,subordinate,no,no,10.409159660339355,10.409159660339355,10.409159660339355,6.718785285949707,2.887427806854248,1, bill,True,EleutherAI/pythia-6.9b,128,6857302016
Kara's loud neighbors made so much racket that it made the racket her kids were making seem like nothing.,racket,subordinate,yes,no,12.127912521362305,12.127912521362305,12.127912521362305,6.966263294219971,9.795462608337402,1, racket,True,EleutherAI/pythia-6.9b,128,6857302016
Kara's loud neighbors made so much noise that it made the racket her kids were making seem like nothing.,racket,subordinate,no,no,12.27803897857666,12.27803897857666,12.27803897857666,6.970699787139893,9.64583969116211,1, racket,True,EleutherAI/pythia-6.9b,128,6857302016
"Susan's job was to clean the stall and pen every day, which was easy except that the pen was a mess.",pen,subordinate,yes,no,10.5712890625,10.5712890625,10.5712890625,5.354279518127441,2.684802532196045,1, pen,True,EleutherAI/pythia-6.9b,128,6857302016
"Susan's job was to clean the barn each day, which was easy except that the pen was a mess.",pen,subordinate,no,no,10.555879592895508,10.555879592895508,10.555879592895508,5.4163923263549805,2.613618850708008,1, pen,True,EleutherAI/pythia-6.9b,128,6857302016
"The votes between disco and ball for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,yes,no,8.762985229492188,8.762985229492188,8.762985229492188,9.624261856079102,2.2759828567504883,1, ball,True,EleutherAI/pythia-6.9b,128,6857302016
"The votes for the dance theme were close, but in the end the ball won the vote.",ball,subordinate,no,no,8.934141159057617,8.934141159057617,8.934141159057617,9.266181945800781,2.2145938873291016,1, ball,True,EleutherAI/pythia-6.9b,128,6857302016
"When Joe found the flooded bank, he grabbed his boots before walking along the bank to work.",bank,subordinate,yes,no,9.765621185302734,9.765621185302734,9.765621185302734,4.95941162109375,6.112157344818115,1, bank,True,EleutherAI/pythia-6.9b,128,6857302016
"When Joe found the flooded river, he grabbed his boots before walking along the bank to work.",bank,subordinate,no,no,9.789873123168945,9.789873123168945,9.789873123168945,5.101637840270996,6.06879997253418,1, bank,True,EleutherAI/pythia-6.9b,128,6857302016
At the museum the kids saw the machine for sending a wire and each student sent a wire to a friend.,wire,subordinate,yes,no,11.183160781860352,11.183160781860352,11.183160781860352,2.3277878761291504,3.458139419555664,1, wire,True,EleutherAI/pythia-6.9b,128,6857302016
At the museum the kids saw the machine for sending a telegram and each student sent a wire to a friend.,wire,subordinate,no,no,11.248608589172363,11.248608589172363,11.248608589172363,2.1695475578308105,3.3861007690429688,1, wire,True,EleutherAI/pythia-6.9b,128,6857302016
"The hunting lodge was full of antlers and horns, but most impressive was the rhino horn hanging on the wall.",horn,subordinate,yes,no,13.289583206176758,13.289583206176758,13.289583206176758,11.848069190979004,4.267293930053711,1, horn,True,EleutherAI/pythia-6.9b,128,6857302016
"The hunting lodge was full of trophies, but most impressive was the rhino horn hanging on the wall.",horn,subordinate,no,no,13.262154579162598,13.262154579162598,13.262154579162598,11.949535369873047,4.752190589904785,1, horn,True,EleutherAI/pythia-6.9b,128,6857302016
"Jamie wanted to go on a tour of the treasury and the mint, but on Mondays the mint was closed to the public.",mint,subordinate,yes,no,11.957508087158203,11.957508087158203,11.957508087158203,7.012574195861816,9.852325439453125,1, mint,True,EleutherAI/pythia-6.9b,128,6857302016
"Jamie wanted to go on a tour of where money is made, but on Mondays the mint was closed to the public.",mint,subordinate,no,no,11.990196228027344,11.990196228027344,11.990196228027344,7.386599540710449,9.704830169677734,1, mint,True,EleutherAI/pythia-6.9b,128,6857302016
Pam had to decide whether to fly first-class or coach; she decided to fly coach because the ticket was cheaper.,coach,subordinate,yes,no,10.756831169128418,10.756831169128418,10.756831169128418,7.653463840484619,2.8111274242401123,1, coach,True,EleutherAI/pythia-6.9b,128,6857302016
Pam had to decide whether or not to fly in first-class; she decided to fly coach because the ticket was cheaper.,coach,subordinate,no,no,10.818899154663086,10.818899154663086,10.818899154663086,7.641671180725098,2.850123167037964,1, coach,True,EleutherAI/pythia-6.9b,128,6857302016
"To tend a hot fire, it's best to use a stick or a poker, but when it's really hot a metal poker can burn you.",poker,subordinate,yes,no,12.926249504089355,12.926249504089355,12.926249504089355,6.346072196960449,11.344826698303223,1, poker,True,EleutherAI/pythia-6.9b,128,6857302016
"To tend a hot fire, it's best to use a stick or tool, but when it's really hot a metal poker can burn you.",poker,subordinate,no,no,12.934978485107422,12.934978485107422,12.934978485107422,6.355978012084961,11.374524116516113,1, poker,True,EleutherAI/pythia-6.9b,128,6857302016
"Even though the pet store had cute huskies and boxers, John had no difficulty picking the boxer puppy for his son.",boxer,subordinate,yes,no,7.700101852416992,16.60923957824707,8.304619789123535,12.644266128540039,5.946274757385254,2, boxer,True,EleutherAI/pythia-6.9b,128,6857302016
"Even though the pet store had many cute puppies, John had no difficulty picking the boxer puppy for his son.",boxer,subordinate,no,no,7.522677421569824,16.377339363098145,8.188669681549072,12.686269760131836,5.577882766723633,2, boxer,True,EleutherAI/pythia-6.9b,128,6857302016
"The president began the meeting with his cabinet and advisors, but only the cabinet was allowed to stay for the end.",cabinet,subordinate,yes,no,13.137994766235352,13.137994766235352,13.137994766235352,5.6466755867004395,8.252842903137207,1, cabinet,True,EleutherAI/pythia-6.9b,128,6857302016
"The president began the meeting with all his advisors, but only the cabinet was allowed to stay for the end.",cabinet,subordinate,no,no,13.157132148742676,13.157132148742676,13.157132148742676,5.785905838012695,8.481833457946777,1, cabinet,True,EleutherAI/pythia-6.9b,128,6857302016
"Martin saw the perfect engagement ring and wedding band set, but was disappointed when the band was sold out.",band,subordinate,yes,no,8.2628755569458,8.2628755569458,8.2628755569458,6.365663051605225,10.051956176757812,1, band,True,EleutherAI/pythia-6.9b,128,6857302016
"Martin saw the perfect engagement ring set, but was disappointed when the band was sold out.",band,subordinate,no,no,8.389388084411621,8.389388084411621,8.389388084411621,6.225652694702148,10.040151596069336,1, band,True,EleutherAI/pythia-6.9b,128,6857302016
"On the flute certain notes are hard to play, but they are not as bad as the same notes on the oboe.",notes,subordinate,yes,yes,10.771455764770508,10.771455764770508,10.771455764770508,3.6117653846740723,1.232556939125061,1, notes,True,EleutherAI/pythia-6.9b,128,6857302016
"On the flute certain sounds are hard to play, but they are not as bad as the same notes on the oboe.",notes,subordinate,no,yes,10.933860778808594,10.933860778808594,10.933860778808594,3.556551933288574,1.1619774103164673,1, notes,True,EleutherAI/pythia-6.9b,128,6857302016
"The sound problem could only be due to either the speaker or the cable, it turned out that the speaker was broken.",speaker,subordinate,yes,no,10.238679885864258,10.238679885864258,10.238679885864258,6.360983848571777,10.398529052734375,1, speaker,True,EleutherAI/pythia-6.9b,128,6857302016
"The sound problem could only be due to a few things, it turned out that the speaker was broken.",speaker,subordinate,no,no,10.162647247314453,10.162647247314453,10.162647247314453,6.675718307495117,10.232772827148438,1, speaker,True,EleutherAI/pythia-6.9b,128,6857302016
"Erin knew to check the map's legend to figure out what the symbols meant, but there was no legend on her map.",legend,subordinate,yes,no,11.659370422363281,11.659370422363281,11.659370422363281,3.392683744430542,4.840867042541504,1, legend,True,EleutherAI/pythia-6.9b,128,6857302016
"Erin knew to check the map to figure out what the symbols meant, but there was no legend on her map.",legend,subordinate,no,no,11.63163948059082,11.63163948059082,11.63163948059082,3.3867180347442627,4.846344947814941,1, legend,True,EleutherAI/pythia-6.9b,128,6857302016
"Kayla was hoping to get a condo on the fourth story, but the best they had was the third story so she didn't buy it.",story,subordinate,yes,no,8.368368148803711,8.368368148803711,8.368368148803711,6.398155689239502,4.9556121826171875,1, story,True,EleutherAI/pythia-6.9b,128,6857302016
"Kayla was hoping to get a condo on the fourth floor, but the best they had was the third story so she didn't buy it.",story,subordinate,no,no,8.362907409667969,8.362907409667969,8.362907409667969,6.3760480880737305,4.954864501953125,1, story,True,EleutherAI/pythia-6.9b,128,6857302016
"No one wants to live near an electrical station or a plant, so the homes next to the plant were vacant.",plant,subordinate,yes,no,9.8091459274292,9.8091459274292,9.8091459274292,7.4486470222473145,11.981618881225586,1, plant,True,EleutherAI/pythia-6.9b,128,6857302016
"No one wants to live near manufacturing facilities, so the homes next to the plant were vacant.",plant,subordinate,no,no,9.804651260375977,9.804651260375977,9.804651260375977,7.175748825073242,12.175119400024414,1, plant,True,EleutherAI/pythia-6.9b,128,6857302016
"After hiking Mike had some cuts on his feet and a corn on one toe, after the walk home he had a corn on each foot.",corn,subordinate,yes,no,10.854766845703125,10.854766845703125,10.854766845703125,5.159387588500977,6.711998462677002,1, corn,True,EleutherAI/pythia-6.9b,128,6857302016
"After hiking Mike had some cuts on his feet, after the walk home he had a corn on each foot.",corn,subordinate,no,no,10.777373313903809,10.777373313903809,10.777373313903809,5.2269086837768555,6.704632759094238,1, corn,True,EleutherAI/pythia-6.9b,128,6857302016
"Paul had only seen nuns in black habits, so when he saw a group of nuns in dark blue habits he was very surprised.",habits,subordinate,yes,yes,10.374751091003418,10.374751091003418,10.374751091003418,7.625968933105469,2.917578935623169,1, habits,True,EleutherAI/pythia-6.9b,128,6857302016
"Paul had only seen nuns in black clothes, so when he saw a group of nuns in dark blue habits he was very surprised.",habits,subordinate,no,yes,10.343521118164062,10.343521118164062,10.343521118164062,7.476553916931152,3.0515658855438232,1, habits,True,EleutherAI/pythia-6.9b,128,6857302016
"The dentist suggested a root canal and crown, but Todd could only get a crown because he didn't have much money.",crown,subordinate,yes,no,10.654539108276367,10.654539108276367,10.654539108276367,7.107074737548828,3.4251270294189453,1, crown,True,EleutherAI/pythia-6.9b,128,6857302016
"The dentist suggested a few different treatments, but Todd could only get a crown because he didn't have much money.",crown,subordinate,no,no,10.590643882751465,10.590643882751465,10.590643882751465,7.296727180480957,3.305356740951538,1, crown,True,EleutherAI/pythia-6.9b,128,6857302016
"His lawyer assured him that he could beat the first law suit, but the second law suit would be a challenge.",suit,subordinate,yes,no,11.423601150512695,11.423601150512695,11.423601150512695,6.445211410522461,1.7261701822280884,1, suit,True,EleutherAI/pythia-6.9b,128,6857302016
"His lawyer assured him that he could beat the first case, but the second law suit would be a challenge.",suit,subordinate,no,no,11.328350067138672,11.328350067138672,11.328350067138672,6.4366865158081055,1.6885895729064941,1, suit,True,EleutherAI/pythia-6.9b,128,6857302016
"The walls looked ok after the first coat finished drying, but Katie applied a second coat to really make them pop.",coat,subordinate,yes,no,10.843607902526855,10.843607902526855,10.843607902526855,3.727670192718506,8.301996231079102,1, coat,True,EleutherAI/pythia-6.9b,128,6857302016
"The walls looked ok after the paint finished drying, but Katie applied a second coat to really make them pop.",coat,subordinate,no,no,10.825496673583984,10.825496673583984,10.825496673583984,3.52211332321167,8.537975311279297,1, coat,True,EleutherAI/pythia-6.9b,128,6857302016
"Evan went to the movie premier in hopes of meeting his two favorite stars, but one of the stars didn't show up.",stars,subordinate,yes,yes,10.511090278625488,10.511090278625488,10.511090278625488,9.006671905517578,0.4559011161327362,1, stars,True,EleutherAI/pythia-6.9b,128,6857302016
"Evan went to the movie premier in hopes of meeting his two favorite actors, but one of the stars didn't show up.",stars,subordinate,no,yes,10.557340621948242,10.557340621948242,10.557340621948242,8.956185340881348,0.4449236989021301,1, stars,True,EleutherAI/pythia-6.9b,128,6857302016
"As best man, Kurt's jobs were to hold the rings and give a toast, which was fine except the toast made him nervous.",toast,subordinate,yes,no,11.399162292480469,11.399162292480469,11.399162292480469,8.578930854797363,5.0348615646362305,1, toast,True,EleutherAI/pythia-6.9b,128,6857302016
"As best man, Kurt's jobs were to say a few words at the reception, which was fine except the toast made him nervous.",toast,subordinate,no,no,11.520271301269531,11.520271301269531,11.520271301269531,8.609126091003418,5.212126731872559,1, toast,True,EleutherAI/pythia-6.9b,128,6857302016
In early spring Lara plants tulip bulbs and by the middle of spring the bulbs begin to sprout.,bulbs,subordinate,yes,yes,12.130746841430664,12.130746841430664,12.130746841430664,12.444572448730469,2.468101978302002,1, bulbs,True,EleutherAI/pythia-6.9b,128,6857302016
In early spring Lara plants tulips and by the middle of spring the bulbs begin to sprout.,bulbs,subordinate,no,yes,12.136129379272461,12.136129379272461,12.136129379272461,12.433024406433105,2.496802568435669,1, bulbs,True,EleutherAI/pythia-6.9b,128,6857302016
"When the shepherd lost his supplies and staff, he had to use a stick as his staff that day on the trail.",staff,subordinate,yes,no,8.997722625732422,8.997722625732422,8.997722625732422,3.6186819076538086,7.132288932800293,1, staff,True,EleutherAI/pythia-6.9b,128,6857302016
"When the shepherd lost his supplies, he had to use a stick as his staff that day on the trail.",staff,subordinate,no,no,9.157405853271484,9.157405853271484,9.157405853271484,3.566305637359619,7.207275390625,1, staff,True,EleutherAI/pythia-6.9b,128,6857302016
"Although the election for department chair was usually very close, this year the chair was elected unanimously.",chair,subordinate,yes,no,10.277959823608398,10.277959823608398,10.277959823608398,6.872897148132324,10.379772186279297,1, chair,True,EleutherAI/pythia-6.9b,128,6857302016
"Although the election for department head was usually very close, this year the chair was elected unanimously",chair,subordinate,no,no,10.370397567749023,10.370397567749023,10.370397567749023,6.714555263519287,10.394508361816406,1, chair,True,EleutherAI/pythia-6.9b,128,6857302016
"Emily hated eating food with seeds or a pit, so she was upset to find a pit in the exotic fruit she tried.",pit,subordinate,yes,no,9.379607200622559,9.379607200622559,9.379607200622559,5.020346641540527,2.0266597270965576,1, pit,True,EleutherAI/pythia-6.9b,128,6857302016
"Emily hated eating food with inedible parts inside, so she was upset to find a pit in the exotic fruit she tried.",pit,subordinate,no,no,9.67181396484375,9.67181396484375,9.67181396484375,5.06001091003418,2.0804390907287598,1, pit,True,EleutherAI/pythia-6.9b,128,6857302016
"The ship docked at the port, but the sailors didn't want to stay in the port that evening.",port,dominant,yes,no,9.13759994506836,9.13759994506836,9.13759994506836,4.005660533905029,11.19274616241455,1, port,True,EleutherAI/pythia-6.9b,128,6857302016
"The ship docked at the harbor, but the sailors didn't want to stay in the port that evening.",port,dominant,no,no,9.18478012084961,9.18478012084961,9.18478012084961,3.8433265686035156,11.226723670959473,1, port,True,EleutherAI/pythia-6.9b,128,6857302016
"The food could be weighed with a balance or scale, but Marcy chose a scale because it was more precise",scale,dominant,yes,no,10.365747451782227,10.365747451782227,10.365747451782227,7.816494941711426,2.704313039779663,1, scale,True,EleutherAI/pythia-6.9b,128,6857302016
"The food could be weighed a few different ways, but Marcy chose a scale because it was more precise.",scale,dominant,no,no,10.258806228637695,10.258806228637695,10.258806228637695,7.488764762878418,2.494439125061035,1, scale,True,EleutherAI/pythia-6.9b,128,6857302016
"The waitress offered them seats at the bar or a table, but the couple chose a table because it was private",table,dominant,yes,no,8.156393051147461,8.156393051147461,8.156393051147461,7.2204179763793945,2.1697189807891846,1, table,True,EleutherAI/pythia-6.9b,128,6857302016
